ReferenceNumber,WatchName,Gender,Location,Price,Currency,BrandName,Condition,ScopeOfDelivery,WatchLink,WatchImage,WebsiteName,WatchModel,Year,Movement,PowerReserve,NumberOfJewels,CaseDiameter,CaseMaterial,WaterResistanceAtm,BezelMaterial,Glass,DialColor,BraceletMaterial,BraceletColor,Buckle,BuckleMaterial,Functions,Description,Other
116610LV,Rolex Submariner Date 116610LV,U,United States of America,15.495,USD,Rolex,Preowned,Box included and papers included,https://www.chrono24.com/rolex//rolex/116610lv-submariner-date-hulk-stainless-steel-mens-watch--id12546839.htm,https://cdn2.chrono24.com/images/uhren/images_39/s8/12546839_xxl_v1569949702619.jpg,Chrono24,submariner date,"
",Automatic,48,31,40,Steel,30,Ceramic,Sapphire Glass,Green,Steel,Steel,,,,This is an unworn 116610LV- the watch comes with the original box and papers.,
116613LB,Rolex Submariner Date 116613LB,U,United States of America,14.5,USD,Rolex,Preowned,Box included and papers included,https://www.chrono24.com/rolex//rolex/submariner-date--id12717547.htm,https://cdn2.chrono24.com/images/uhren/images_47/s5/12717547_xxl_v1571770294242.jpg,Chrono24,submariner date,"
",Automatic,50,31,40,Gold/Steel,30,Ceramic,Sapphire Glass,Blue,Gold/Steel,Gold/Steel,,,,,
16014,Rolex Datejust 16014,U,United States of America,3.5,USD,Rolex,Preowned,Box not included and papers not included,https://www.chrono24.com/rolex//rolex/mens-datejust-blue-dial-18k-white-gold--stainless-steel-quickset-watch--id12953764.htm,https://cdn2.chrono24.com/images/uhren/images_64/s7/12953764_xxl_v1573875899561.jpg,Chrono24,datejust,"
",Automatic,,27,36,Steel,,White gold,Plexiglass,Blue,Steel,Steel,,,,,
5512,Rolex Submariner (No Date) 5512,U,United States of America,NaN,USD,Rolex,Preowned,Box not included and papers not included,https://www.chrono24.com/rolex//rolex/submariner-stainless-steel-ref-5512-black-matte-4-line-dial--id11891083.htm,https://cdn2.chrono24.com/images/uhren/images_83/s0/11891083_xxl_v1564980071129.jpg,Chrono24,submariner (no date),"
",Automatic,48,26,39.5,Steel,20,Steel,Plexiglass,Black,Calf skin,Brown,,,,,
118235,Rolex Day-Date 36 118235,,United States of America,28.5,USD,Rolex,Preowned,Box included and papers included,https://www.chrono24.com/rolex//rolex/day-date-36mm--id11141671.htm,https://cdn2.chrono24.com/images/uhren/images_71/s6/11141671gross_v1557232911108.jpg,Chrono24,day.date 36,"
",,48,,36,Rose gold,,,Sapphire Glass,Pink,,Gold,,,,"Rolex 36mm Everose Gold Day-Date 
  
Originally introduced in 1956, the Day-Date has become an enduring Rolex icon. The design characteristic of the President bracelet along with the pink dial and factory-set diamond indicators gives this stunning timepiece unmistakable  presence on the wrist. The Cal. 3155 (which is entirely designed and manufactured by Rolex) boasts a 48 hour power reserve. This particular example is in mint like-new condition. This timepiece comes complete with all accompanying boxes, manuals, and original warranty from Rolex.",
116610LV,Rolex Submariner Date 116610LV,U,United States of America,15.8,USD,Rolex,Preowned,Box included and papers included,https://www.chrono24.com/rolex//rolex/submariner-date--id12718548.htm,https://cdn2.chrono24.com/images/uhren/images_48/s5/12718548_xxl_v1571785801904.jpg,Chrono24,submariner date,"
",Automatic,48,31,40,Steel,30,Ceramic,Sapphire Glass,Green,Steel,Steel,,,,,
6202,Rolex Oyster Perpetual 6202,U,United States of America,34,USD,Rolex,Preowned,Box included and papers not included,https://www.chrono24.com/rolex//rolex/oyster-perpetual-turn-o-graph-ref-6202-tropical-steel-1953--id12668506.htm,https://cdn2.chrono24.com/images/uhren/images_06/s5/12668506_xxl_v1571240088924.jpg,Chrono24,oyster perpetual,"
",Automatic,,,36,Steel,,Steel,Plexiglass,Black,Steel,Steel,,,,"GREAT CONDITION 

ORIGINAL BOX, NO PAPERS",
116523,Rolex Daytona 116523,,United States of America,14.5,USD,Rolex,Preowned,Box included and papers included,https://www.chrono24.com/rolex//rolex/daytona--id11141640.htm,https://cdn2.chrono24.com/images/uhren/images_40/s6/11141640_v1557232878289.jpg,Chrono24,daytona,"
",,,,40,Gold/Steel,,Yellow gold,,Black,,Gold/Steel,,,,"Yellow Gold and Steel two-tone Daytona 116523 
 
The Rolex Cosmograph Daytona was first introduced in 1963, and has become perhaps the most recognized timepiece ever designed. This modern take, in two-toned yellow gold and steel with a yellow gold bezel and black dial is a fresh take on an iconic timepiece. The stunning black dial and yellow gold/steel bracelet play off each other to create the perfect balance of sporty and refined in this modern classic. This particular example from 2008 is in spectacular like-new condition and comes complete with all accompanying boxes, manuals, and original warranty from Rolex.",
16013,Rolex Datejust 16013,U,United States of America,5.599,USD,Rolex,Preowned,Box not included and papers not included,https://www.chrono24.com/rolex//rolex/mens-datejust-two-tone-18k-yellow-gold-diamond-sapphire-quickset-watch--id12944128.htm,https://cdn2.chrono24.com/images/uhren/images_28/s1/12944128_xxl_v1573790560807.jpg,Chrono24,datejust,"
",Automatic,,27,36,Steel,,Yellow gold,Sapphire Glass,Blue,Gold/Steel,Gold/Steel,,,,,
116233,Rolex Datejust 116233,U,United States of America,8.4,USD,Rolex,Preowned,Papers included and box not included,https://www.chrono24.com/rolex//rolex/datejust-36mm-champagne-stick-new-style-jubilee-card--id12895418.htm,https://cdn2.chrono24.com/images/uhren/images_18/s4/12895418_xxl_v1573333313242.jpg,Chrono24,datejust,"
",Automatic,48,31,36,Gold/Steel,10,Yellow gold,Sapphire Glass,Champagne,Gold/Steel,Gold/Steel,,,,,
114060,Rolex Submariner (No Date) 114060,U,United States of America,9.7,USD,Rolex,Preowned,Box included and papers included,https://www.chrono24.com/rolex//rolex/submariner-no-date-2019-complete--id10970064.htm,https://cdn2.chrono24.com/images/uhren/images_64/s0/10970064_xxl_v1555363730606.jpg,Chrono24,submariner (no date),"
",Automatic,48,31,40,Steel,30,Ceramic,Sapphire Glass,Black,Steel,Steel,,,,,
126300-0017,Rolex Datejust 126300-0017,U,United States of America,7.599,USD,Rolex,Preowned,Box included and papers included,https://www.chrono24.com/rolex//rolex/datejust--id13001840.htm,https://cdn2.chrono24.com/images/uhren/images_40/s8/13001840_xxl_v1574312349598.jpg,Chrono24,datejust,"
",Automatic,,,,Steel,,,,Blue,Steel,,,,,"ABOUT US 

Brilliance & Grace: Exclusive Watches, Thoughtfully Priced. Superb customer service. 

Boxes and Papers included. 

Free shipping within the United States. 

For more photos, please send us a message. Thank you, the Brilliance & Grace team . . . more information following the watch description. 



Rolex uses Oystersteel for its steel watch cases. Specially developed by the brand, Oystersteel belongs to the 904L steel family, alloys most commonly used in high-technology and in the aerospace and chemical industries, where maximum resistance to corrosion is essential. Oystersteel is extremely resistant, offers an exceptional finish once polished and maintains its beauty even in the harshest environments. The dial is the distinctive face of a Rolex watch, the feature most responsible for its identity and readability. Characterised by hour markers fashioned from 18 ct gold to prevent tarnishing, every Rolex dial is designed and manufactured in-house, largely by hand to ensure perfection.



REPUTATION 

We pride ourselves on the reputation we have built on Chrono24. Please compare our rating to others before making a purchase. We are confident you will prefer working with us. 



GUARANTEE 

Brilliance & Grace stands behind every watch we sell, and we are committed to your complete satisfaction. We guarantee this watch to be 100% genuine, brand new & unworn. The watch will have its original manufacturer’s serial number intact and unaltered. The watch will be delivered in its original box. 



WARRANTY 

Unless specifically mentioned in the ad, you can expect to receive a brand new watch with tags. The original brand box will be provided, as well as original manufacturer’s warranty and instruction manual. 



BUYER PROTECTION 

We prefer that all transactions take place through Chrono24’s platform using Trusted Checkout. Buyer’s are welcome to pay with a credit card or wire transfer. Chrono24 collects the funds and holds them in escrow until you receive your order and confirm to them that everything is as described. 



TAXES 

There is no sales tax charged, unless shipping within the state of Georgia. 



SHIPPING 

We offer FREE shipping on all orders within the US. 

We do ship internationally, however the buyer will be responsible for the country’s duties and taxes.",
114060,Rolex Submariner (No Date) 114060,U,United States of America,9.95,USD,Rolex,Preowned,Box included and papers included,https://www.chrono24.com/rolex//rolex/submariner-no-date-114060-new-2019--id12999312.htm,https://cdn2.chrono24.com/images/uhren/images_12/s3/12999312_xxl_v1574281998560.jpg,Chrono24,submariner (no date),"
",Automatic,48,31,40,Steel,30,Ceramic,Sapphire Glass,Black,Steel,Steel,,,,"Brand New Rolex Submariner (No Date) 114060 NEW 2019



Warranty Card Dated 2019

Unsized and Unworn Watch



The picture used for this listing is a stock picture provided by the manufacturer. 

Contact us if you require actual photos of this model. 



All watches are in stock and available to ship immediately.

Watch includes the original manufacturer box, serial card, and guarantee manual.

There is no sales tax involved, unless shipping to NJ. 

We offer overnight shipping and insurance for all orders shipping within the Continental US. 



Haniken Jewelers is not an authorized dealer. We do not claim any rights to the patents, copyrights, which belong solely to their developers or assignees and licenses. We obtain our Products directly with authorized dealers and distributors.",
278271,Rolex Datejust 278271,W,United States of America,10.945,USD,Rolex,Preowned,Box included and papers included,https://www.chrono24.com/rolex//rolex/datejust-31-steel-and-rose-gold-diamond-iv-278271-new--id12816072.htm,https://cdn2.chrono24.com/images/uhren/images_72/s0/12816072_xxl_v1572669057578.jpg,Chrono24,datejust,"
",Automatic,55,,31,Gold/Steel,10,Rose gold,Sapphire Glass,Brown,Gold/Steel,Gold/Steel,,,,"Brand New 2019 Rolex Two Tone Datejust 31 Chocolate Roman Dial Diamond VI [18K Rose Gold and Stainless Steel]



100% Guaranteed Authentic with Box and Papers



Features:

18K Everose Gold Fluted Bezel

Diamond VI Marker

18K Everose Gold/SS Jubilee Bracelet

New cal. 2236 Movement



Notes:

Unsized and Unworn Watch

Warranty Card from Rolex AD Dated October 2019

Factory Rolex Warranty Until October 2024



Included:

All Links

Green COSC Hangtag

Rolex Inner and Outer Box

Instruction Booklet

Rolex Worldwide Service Manual

Rolex Original Warranty Card



Trades/sales of modern Rolex, Audemars Piguet, Patek Philippe, Omega and Tudor watches accepted from buyers with references.



Returns accepted if the item received is not as described. Returns must be initiated within 24 hours of receipt and returned in the exact same condition as received.



Chrono24 Trusted Seller and Premium Seller

100% Recommendation Rate

300+ Chrono24 Trusted Checkouts Completed!

250+ Average 5 Star Customer Reviews!

Many references available upon request",
178274,Rolex Lady-Datejust 178274,W,United States of America,9.899,USD,Rolex,Preowned,Box included and papers included,https://www.chrono24.com/rolex//rolex/lady-datejust-new-31mm-meteorite-diamond-dial-jubilee-178274--id12688816.htm,https://cdn2.chrono24.com/images/uhren/images_16/s8/12688816_xxl_v1571432153207.jpg,Chrono24,lady.datejust,"
",Automatic,48,31,31,Steel,10,White gold,Sapphire Glass,Silver,Steel,Steel,,,,,
116688,Rolex Yacht-Master II 116688,U,United States of America,35.9,USD,Rolex,Preowned,Box included and papers included,https://www.chrono24.com/rolex//rolex/yacht-master-ii-116688-2019-box--paper--id12187700.htm,https://cdn2.chrono24.com/images/uhren/images_00/s7/12187700_xxl_v1566422127140.jpg,Chrono24,yacht.master ii,"
",Automatic,72,,44,Yellow gold,10,,Sapphire Glass,White,Yellow gold,Gold,,,,"New Rolex Yacht-Master II 116688 Solid Gold



Warranty Card Dated 2019



The picture used for this listing is a stock picture provided by the manufacturer. 

Contact us if you require actual photos of this model. 



All watches are in stock and available to ship immediately.

Watch includes the original manufacturer box, serial card, and guarantee manual.

There is no sales tax involved, unless shipping to NJ. 

We offer overnight shipping and insurance for all orders shipping within the Continental US. 



Haniken Jewelers is not an authorized dealer. We do not claim any rights to the patents, copyrights, which belong solely to their developers or assignees and licensees. We obtain our Products from  authorized dealers and distributors.",
126200,Rolex Datejust 126200,U,United States of America,8.003,USD,Rolex,Preowned,Box included and papers included,https://www.chrono24.com/rolex//rolex/rolex-datejust-36mm-white-roman-dial--diamond-bezel-jubilee--id12452145.htm,https://cdn2.chrono24.com/images/uhren/images_45/s1/12452145_xxl_v1569774866827.jpg,Chrono24,datejust,"
",Automatic,70,,36,Steel,10,Steel,Sapphire Glass,White,Steel,Steel,,,,"Rolex Datejust 36mm White Roman Dial & Diamond Bezel on Jubilee Bracelet 126200 Unworn



    Brand



    Rolex



    Series



    Datejust 36



    Model



    126200



    Gender



    Unisex



    Movement



    Automatic



    Engine



    Rolex Calibre 3235



    Power Reserve



    70 hours



    Case Size



    36 mm



    Case Material



    Stainless Steel



    Case Shape



    Round



    Case Back



    Solid



    Dial Type



    Analog



    Dial Color



    White Roman



    Crystal



    Sapphire



    Hands



    Luminous



    Dial Markers



    Roman



    Luminiscence



    Hands



    Bezel



    Custom Diamond Bezel



    Band Type



    Bracelet



    Band Material



    Stainless Steel Rolex Jubilee



    Band Color



    Silver Tone



    Clasp



    Deployment



    Water Resistance



    100 meters / 330 feet



    Calendar



    Date displays at the 3 o'clock position



    Functions



    Date, Hour, Minute, Second, Chronometer



    Features



    Calendar, Chronometer, Stainless Steel







All watches are subject to availability as we have multiple sales outlets and do our best to keep online inventory updated.  



INFO: 



We only use actual pictures of the watches we have on hand. What you see in the pictures is exactly what you will receive. We believe in being up front with our clients leaving no surprises to what they are getting. Everything we sell is 100% Authentic and Original. Our Pre-Owned items are thoroughly checked for authenticity inside and out along with the overall operation of the movement. We want you to be satisfied and for you to know we have fully authenticated the watches we sell is our #1 priority. All pre-owned watches come with a 1 year in house warranty. Watch Noble is a independent Dealer and is Not affiliated with any of the brands we carry. 



ABOUT US: 



We BUY, SELL and TRADE Swiss watches. If you have a timepiece to sell please contact us via our Seller information. We can also order most Brands of New watches within just a few days or less. Please feel free to inquire. 



We started out in the early 1990's selling quartz watches along with doing battery replacements at the Orange county swap meet in Costa Mesa, CA. Over the years we became Swiss Watch Collectors and then eventually buying and selling full time. Today we Buy, Sell, Trade and Service Swiss Watches. We are a small business that believes in one on one customer service as opposed to a large corporate entity that is too busy to provide that personal touch.  WatchNoble.com





Acceptable Payments are Bank Wire Transfer, Cash, Credit Card, Chrono24 Checkout.  The Listed prices are for Chrono24 Trusted Checkout.  All Fees and charges are included in the total price. For CA residents 7.75% tax will be added.",
Subscription,Benzinger Subscription Subscription,U,Germany,9.7,USD,Benzinger,Preowned,Box included and papers included,https://www.chrono24.com/rolex//benzinger/subx73cription-viii-reverse--id8354768.htm,https://cdn2.chrono24.com/images/uhren/images_68/s7/8354768_xxl.jpg?v=1527076420230,Chrono24,subscription,"
",Manual winding,36,17,42,Steel,3,Steel,Sapphire Glass,Black,Crocodile skin,Black,,,,,
116613LB,Rolex Submariner Date 116613LB,U,United States of America,13.89,USD,Rolex,Preowned,Box included and papers included,https://www.chrono24.com/rolex//rolex/submariner-date--id12254233.htm,https://cdn2.chrono24.com/images/uhren/images_33/s2/12254233_xxl_v1567108306428.jpg,Chrono24,submariner date,"
",Automatic,50,31,40,Gold/Steel,30,Ceramic,Sapphire Glass,Blue,Gold/Steel,Gold/Steel,,,,,
18238 - W Series,Rolex Day-Date 36 18238 - W Series,U,United States of America,12.85,USD,Rolex,Preowned,Box included and papers not included,https://www.chrono24.com/rolex//rolex/1995-day-date-36-model-18238--id10223779.htm,https://cdn2.chrono24.com/images/uhren/images_79/s7/10223779_xxl.jpg?v=1548963049890,Chrono24,day.date 36,"
",Automatic,48,31,36,Yellow gold,10,Yellow gold,Sapphire Glass,,Yellow gold,Gold,,,,,
1675,Rolex GMT-Master 1675,U,United States of America,16.633,USD,Rolex,Preowned,Box not included and papers not included,https://www.chrono24.com/rolex//rolex/gmt-master--id12678030.htm,https://cdn2.chrono24.com/images/uhren/images_30/s0/12678030_xxl_v1571335611152.jpg,Chrono24,gmt.master,"
",Automatic,48,26,40,Steel,10,Steel,Plexiglass,Black,Steel,Steel,,,,"WHY THIS WATCH

One of the most iconic timepieces among the Rolex line-up, the GMT-Master has enjoyed over 60 years of history since its inception in 1955. 



The 1675 is one the longest running references in the Rolex catalog (1959-1980). 

The famous red and blue “Pepsi” bicolored bezel appeared on the very first GMT-Master and remains a favorite option today. 



THE LITTLE DETAILS

Watch is serial # 198XXXX from 1969. Rolex Pepsi bezel is in beautiful, faded condition. Dial, and hands showing very nice patina, with a light butterscotch color. It’s likely this watch was polished once or twice in it’s history. This watch comes with the head only, the BRACELET is NOT INCLUDED.",
116681,Rolex Yacht-Master II 116681,U,United States of America,21.449,USD,Rolex,Preowned,Box included and papers included,https://www.chrono24.com/rolex//rolex/yacht-master-ii--id12863011.htm,https://cdn2.chrono24.com/images/uhren/images_11/s0/12863011_xxl_v1573672223855.jpg,Chrono24,yacht.master ii,"
",Automatic,72,42,44,Gold/Steel,10,,Sapphire Glass,White,Gold/Steel,Gold/Steel,,,,"ABOUT US

Brilliance & Grace: Exclusive Watches, Thoughtfully Priced.  Superb customer service.

Boxes and Papers included.

Free shipping within the United States.

For more photos, please send us a message.  Thank you, the Brilliance & Grace team . . . more information following the watch description.



Gold is coveted for its lustre and nobility. Steel reinforces strength and reliability. Together, they harmoniously combine the best of their properties. A true Rolex signature, Rolesor has featured on Rolex models since the early 1930s, and was trademarked as a name in 1933. It is one of the prominent pillars of the Oyster collection. The Yacht-Master II is equipped with a new dial, and new hands that are characteristic of Rolex Professional models, enhancing legibility and sharpening its aesthetic appeal. The dial now features a triangular hour marker at 12 o’clock and a rectangular hour marker at 6 o’clock for more intuitive reading of the watch. A luminescent disc on the hour hand clearly distinguishes it from the minute hand. The Yacht-Master II’s countdown can be programmed for a duration of between 1 and 10 minutes. The programming is memorized by the mechanism so that at a reset it returns to the previous setting. Once launched, the countdown can be synchronized on the fly to match the official race countdown. The Oyster bracelet is a perfect alchemy of form and function, aesthetics and technology, designed to be both robust and comfortable. It is equipped with an Oysterlock folding clasp, which prevents accidental opening and the Easylink comfort extension link, also exclusive to Rolex. This ingenious system allows the wearer to increase the bracelet length by approximately 5 mm, providing additional comfort in any circumstance.



REPUTATION

We pride ourselves on the reputation we have built on Chrono24. Please compare our rating to others before making a purchase. We are confident you will prefer working with us.



GUARANTEE

Brilliance & Grace stands behind every watch we sell, and we are committed to your complete satisfaction. We guarantee this watch to be 100% genuine, brand new & unworn.  The watch will have its original manufacturer’s serial number intact and unaltered.  The watch will be delivered in its original box. 



WARRANTY

Unless specifically mentioned in the ad, you can expect to receive a brand new watch with tags. The original brand box will be provided, as well as original manufacturer’s warranty and instruction manual.



BUYER PROTECTION

We prefer that all transactions take place through Chrono24’s platform using Trusted Checkout. Buyer’s are welcome to pay with a credit card or wire transfer. Chrono24 collects the funds and holds them in escrow until you receive your order and confirm to them that everything is as described.



TAXES

There is no sales tax charged, unless shipping within the state of Georgia.



SHIPPING

We offer FREE shipping on all orders within the US.

We do ship internationally, however the buyer will be responsible for the country’s duties and taxes.",
228239,Rolex Day-Date 40 228239,U,United States of America,44.092,USD,Rolex,Preowned,Box included and papers included,https://www.chrono24.com/rolex//rolex/228239-day-date-40-meteorite-set-with-diamonds--id12746246.htm,,Chrono24,day.date 40,"
",Automatic,70,31,40,White gold,10,White gold,Sapphire Glass,Green,White gold,Gold,,,,Rolex Day-Date 228239 Meteorite Baguette Diamond Dial 40mm White Gold Mens Watch Unworn complete 2019,
326935,Rolex Sky-Dweller 326935,U,United States of America,49.999,USD,Rolex,Preowned,Box included and papers included,https://www.chrono24.com/rolex//rolex/326935-cho-sky-dweller-chocolate-dial-18k-rose-gold-mens--id12375095.htm,https://cdn2.chrono24.com/images/uhren/images_95/s0/12375095_xxl_v1568305131786.jpg,Chrono24,sky.dweller,"
",Automatic,72,40,42,Rose gold,10,Rose gold,Sapphire Glass,Brown,Rose gold,Gold,,,,,
16588,Rolex Daytona 16588,,United States of America,195.5,USD,Rolex,Preowned,Box not included and papers not included,https://www.chrono24.com/rolex//rolex/daytona--id11141656.htm,https://cdn2.chrono24.com/images/uhren/images_56/s6/11141656gross_v1557232894976.jpg,Chrono24,daytona,"
",,,,40,Yellow gold,,,Sapphire Glass,,Crocodile skin,,,,,"Daytona 16588 ""Zenith"" Sapphire baguette bezel - pavè dial 
  
A rare and important Rolex Daytona in yellow gold with spectacular factory set sapphires and diamonds. This Zenith movement Daytona features a baguette-cut pink sapphire bezel with an outstanding diamond dial and sapphire-set hour markers. This 16588 is a very rare gem and perhaps one of the more collectable ""fancy dial"" Daytona's currently available on the market. This stunning timepiece comes with a one year Material Good warranty.",
114060,Rolex Submariner (No Date) 114060,U,United States of America,8.999,USD,Rolex,Preowned,Box included and papers included,https://www.chrono24.com/rolex//rolex/submariner-no-date-2019-like-new-ceramic-steel-114060--id12875378.htm,https://cdn2.chrono24.com/images/uhren/images_78/s3/12875378_xxl_v1573160118131.jpg,Chrono24,submariner (no date),"
",Automatic,48,31,40,Steel,30,Ceramic,Sapphire Glass,Black,Steel,Steel,,,,,
326934,Rolex Sky-Dweller 326934,U,United States of America,18.45,USD,Rolex,Preowned,Box included and papers included,https://www.chrono24.com/rolex//rolex/sky-dweller-326934-new-full-stickers-2019--id12546754.htm,https://cdn2.chrono24.com/images/uhren/images_54/s7/12546754_xxl_v1569948859749.jpg,Chrono24,sky.dweller,"
",Automatic,72,40,42,Steel,10,White gold,Sapphire Glass,Black,Steel,Steel,,,,,
Full Skeleton,Benzinger Skelett Full Skeleton,U,Germany,9.813,USD,Benzinger,Preowned,Box included and papers included,https://www.chrono24.com/rolex//benzinger/full-skeleton-floral-white--id5811850.htm,https://cdn2.chrono24.com/images/uhren/images_50/s8/5811850.jpg?v=3,Chrono24,skelett,"
",Manual winding,36,17,42,Steel,3,Steel,Sapphire Glass,,Crocodile skin,Black,,,,,
126710BLNR,Rolex GMT-Master II 126710BLNR,U,United States of America,14.975,USD,Rolex,Preowned,Box included and papers included,https://www.chrono24.com/rolex//rolex/gmt-master-ii--id12856424.htm,https://cdn2.chrono24.com/images/uhren/images_24/s4/12856424_xxl_v1572991923026.jpg,Chrono24,gmt.master ii,"
",Automatic,70,31,40,Steel,10,Ceramic,Sapphire Glass,Black,Steel,Steel,,,,"NASHVILLE WATCH, LLC - 615-969-5066











Manufacture: Rolex



Model: GMT Master II



Reference: 126710BLNR



Case Size: 40mm



Case Material: Stainless Steel



Bracelet Material:  Stainless Steel



Crystal: Sapphire with cyclops



Movement: Automatic Calibre 3285



Dial:  Black



Box: Yes



Papers: Yes



Age:  Warranty Card Dated - 07/2019







This Rolex GMT Master II BLNR is in excellent condition - it is hardly worn. It is complete with the boxes and papers and was originally sold in July of 2019.



The case is in excellent condition.



The bracelet is in excellent condition with a few tiny hairlines. It has all the links and will fit around an 8"" wrist.



The watch is functioning as it should and keeping great time; within COSC.",
16013,Rolex Datejust 16013,U,United States of America,5.65,USD,Rolex,Preowned,Box included and papers not included,https://www.chrono24.com/rolex//rolex/rolex-mens-datejust-ss--18k-yellow-gold-silver-diamond-dial--id8404657.htm,https://cdn2.chrono24.com/images/uhren/images_57/s6/8404657_xxl.jpg?v=1527715060035,Chrono24,datejust,"
",Automatic,,27,36,Gold/Steel,,Yellow gold,Sapphire Glass,Silver,Gold/Steel,Gold/Steel,,,,"Rolex men's stainless steel and Yellow gold Datejust with Silver dial set with 10 round (VVS H Color) hour markers. Custom 18K Yellow gold pyramid bead-set bezel set with round diamonds. Rolex stainless steel case set with aftermarket round diamonds. Rolex automatic winding caliber 3035 with scratch resistant sapphire crystal. Rolex stainless steel and Yellow gold jubilee bracelet with a genuine folding stainless steel claps with engraved Rolex crown.



Bracelet Length 7 Inches. Additional links can be added upon request complimentary.



This mint condition genuine Rolex watch has been fully polished and overhauled. It has been time tested to insure accurate time keeping.

All pre-owned watches sold by SGA Watches & Jewelry are refurbished to look like new.

All of our watches come with SGA Watches 2 Years Warranty, Polishing Cloth and Wooden Watch Box.



SGA Watches offers 14 Days return policy on all watches sold.",
16014,Rolex Datejust 16014,U,United States of America,3.799,USD,Rolex,Preowned,Box not included and papers not included,https://www.chrono24.com/rolex//rolex/mens-rolex-datejust-18k-white-gold--stainless-steel-blue-diamond-dial-watch--id12851386.htm,https://cdn2.chrono24.com/images/uhren/images_86/s3/12851386_xxl_v1573875953691.jpg,Chrono24,datejust,"
",Automatic,,,36,Steel,,White gold,Plexiglass,Blue,Steel,Steel,,,,,
116503,Rolex Daytona 116503,U,United States of America,16.549,USD,Rolex,Preowned,Box included and papers included,https://www.chrono24.com/rolex//rolex/daytona-116503-new--id10780268.htm,https://cdn2.chrono24.com/images/uhren/images_68/s2/10780268_xxl_v1553207027098.jpg,Chrono24,daytona,"
",Automatic,72,44,40,Gold/Steel,10,Yellow gold,Sapphire Glass,,Gold/Steel,Gold/Steel,,,,,
126300-0011,Rolex Datejust 126300-0011,U,United States of America,7.85,USD,Rolex,Preowned,Box included and papers included,https://www.chrono24.com/rolex//rolex/datejust-41-mm-stainless-steel-band-black-dial-126300--id11033695.htm,https://cdn2.chrono24.com/images/uhren/images_95/s6/11033695_xxl_v1555971526738.jpg,Chrono24,datejust,"
",Automatic,,,41,Steel,10,,,Black,Steel,,,,,"Included With This Purchase: 



- Original Box 

- Original Warranty Card 

- FedEx Overnight domestic shipping (once payment is verified with Chrono) 

- International Shipping 2-4 days 



*Please note that all International buyers are responsible for custom taxes and/or duties of the receiving country. 

*NY State Residents will be charged NYS Sales Tax. 





Luxury Time NYC INC. is neither affiliated with nor an authorized dealer for the above mentioned brand, watch maker or any other watch brand. We obtain our watches from reputable sources dealing directly with authorized dealers and distributors. The manufacturer's warranty is no longer valid and Luxury Time NYC is the sole warrantor of the watches sold unless purchased unworn. Luxury Time NYC warranties all items sold for two years from the date of the original sale. Warranty only covers manufacturer’s parts which existed in the movement at the time of the sale and shall be void if altered subsequent to the sale. All watches and watch items sold are previously purchased, pre-owned and/or used even if they appear unpolished or new.",
16518,Rolex Daytona 16518,U,United States of America,NaN,USD,Rolex,Preowned,Box not included and papers not included,https://www.chrono24.com/rolex//rolex/daytona-zenith-movement-white-dial-18k-yellow-gold-16518--id12812940.htm,https://cdn2.chrono24.com/images/uhren/images_40/s9/12812940_xxl_v1572656959909.jpg,Chrono24,daytona,"
",Automatic,72,31,40,Yellow gold,10,Yellow gold,Sapphire Glass,White,Crocodile skin,Brown,,,,,
116400GV,Rolex Milgauss 116400GV,U,United States of America,8.8,USD,Rolex,Preowned,Box included and papers included,https://www.chrono24.com/rolex//rolex/milgauss-blue-dial--id12694807.htm,https://cdn2.chrono24.com/images/uhren/images_07/s8/12694807_xxl_v1571509886634.jpg,Chrono24,milgauss,"
",Automatic,48,31,40,Steel,10,Steel,Sapphire Glass,Blue,Steel,Steel,,,,,
